,To,From,Value,Year,Type
131,Nebraska,Alaska,17.0,2021,Estimate
132,Nevada,Alaska,960.0,2021,Estimate
133,New Hampshire,Alaska,127.0,2021,Estimate
134,New Jersey,Alaska,0.0,2021,Estimate
135,New Mexico,Alaska,254.0,2021,Estimate
136,New York,Alaska,1036.0,2021,Estimate
137,North Carolina,Alaska,1730.0,2021,Estimate
138,North Dakota,Alaska,445.0,2021,Estimate
139,Ohio,Alaska,197.0,2021,Estimate
140,Oklahoma,Alaska,264.0,2021,Estimate
141,Oregon,Alaska,318.0,2021,Estimate
142,Pennsylvania,Alaska,917.0,2021,Estimate
143,Rhode Island,Alaska,241.0,2021,Estimate
144,South Carolina,Alaska,222.0,2021,Estimate
145,South Dakota,Alaska,0.0,2021,Estimate
146,Tennessee,Alaska,456.0,2021,Estimate
147,Texas,Alaska,2587.0,2021,Estimate
148,Utah,Alaska,320.0,2021,Estimate
149,Vermont,Alaska,0.0,2021,Estimate
150,Virginia,Alaska,1532.0,2021,Estimate
151,Washington,Alaska,2242.0,2021,Estimate
152,West Virginia,Alaska,0.0,2021,Estimate
153,Wisconsin,Alaska,237.0,2021,Estimate
154,Wyoming,Alaska,113.0,2021,Estimate
155,Puerto Rico,Alaska,0.0,2021,Estimate
156,Alabama,Alaska,29.0,2021,MOE
157,Alaska,Alaska,,2021,MOE
158,Arizona,Alaska,1470.0,2021,MOE
159,Arkansas,Alaska,183.0,2021,MOE
160,California,Alaska,1347.0,2021,MOE
161,Colorado,Alaska,2953.0,2021,MOE
162,Connecticut,Alaska,217.0,2021,MOE
163,Delaware,Alaska,210.0,2021,MOE
164,District of Columbia ,Alaska,179.0,2021,MOE
165,Florida,Alaska,2747.0,2021,MOE
166,Georgia,Alaska,2222.0,2021,MOE
167,Hawaii,Alaska,503.0,2021,MOE
168,Idaho,Alaska,4446.0,2021,MOE
169,Illinois,Alaska,654.0,2021,MOE
170,Indiana,Alaska,170.0,2021,MOE
171,Iowa,Alaska,186.0,2021,MOE
172,Kansas,Alaska,102.0,2021,MOE
173,Kentucky,Alaska,248.0,2021,MOE
174,Louisiana,Alaska,1709.0,2021,MOE
175,Maine,Alaska,147.0,2021,MOE
176,Maryland,Alaska,1109.0,2021,MOE
177,Massachusetts,Alaska,201.0,2021,MOE
178,Michigan,Alaska,378.0,2021,MOE
179,Minnesota,Alaska,74.0,2021,MOE
180,Mississippi,Alaska,1569.0,2021,MOE
181,Missouri,Alaska,520.0,2021,MOE
182,Montana,Alaska,726.0,2021,MOE
183,Nebraska,Alaska,32.0,2021,MOE
184,Nevada,Alaska,652.0,2021,MOE
185,New Hampshire,Alaska,199.0,2021,MOE
186,New Jersey,Alaska,222.0,2021,MOE
187,New Mexico,Alaska,313.0,2021,MOE
188,New York,Alaska,760.0,2021,MOE
189,North Carolina,Alaska,1033.0,2021,MOE
190,North Dakota,Alaska,642.0,2021,MOE
191,Ohio,Alaska,161.0,2021,MOE
192,Oklahoma,Alaska,205.0,2021,MOE
193,Oregon,Alaska,284.0,2021,MOE
194,Pennsylvania,Alaska,1040.0,2021,MOE
195,Rhode Island,Alaska,393.0,2021,MOE
196,South Carolina,Alaska,315.0,2021,MOE
