,To,From,Value,Year,Type
114,Georgia,Alaska,3645.0,2010,Estimate
115,Hawaii,Alaska,743.0,2010,Estimate
116,Idaho,Alaska,3264.0,2010,Estimate
117,Illinois,Alaska,1764.0,2010,Estimate
118,Indiana,Alaska,177.0,2010,Estimate
119,Iowa,Alaska,519.0,2010,Estimate
120,Kansas,Alaska,1050.0,2010,Estimate
121,Kentucky,Alaska,3017.0,2010,Estimate
122,Louisiana,Alaska,1504.0,2010,Estimate
123,Maine,Alaska,424.0,2010,Estimate
124,Maryland,Alaska,2672.0,2010,Estimate
125,Massachusetts,Alaska,1891.0,2010,Estimate
126,Michigan,Alaska,1040.0,2010,Estimate
127,Minnesota,Alaska,1169.0,2010,Estimate
128,Mississippi,Alaska,1192.0,2010,Estimate
129,Missouri,Alaska,1051.0,2010,Estimate
130,Montana,Alaska,650.0,2010,Estimate
131,Nebraska,Alaska,35.0,2010,Estimate
132,Nevada,Alaska,511.0,2010,Estimate
133,New Hampshire,Alaska,0.0,2010,Estimate
134,New Jersey,Alaska,383.0,2010,Estimate
135,New Mexico,Alaska,969.0,2010,Estimate
136,New York,Alaska,5070.0,2010,Estimate
137,North Carolina,Alaska,1618.0,2010,Estimate
138,North Dakota,Alaska,1066.0,2010,Estimate
139,Ohio,Alaska,1556.0,2010,Estimate
140,Oklahoma,Alaska,1397.0,2010,Estimate
141,Oregon,Alaska,2027.0,2010,Estimate
142,Pennsylvania,Alaska,2185.0,2010,Estimate
143,Rhode Island,Alaska,0.0,2010,Estimate
144,South Carolina,Alaska,1670.0,2010,Estimate
145,South Dakota,Alaska,25.0,2010,Estimate
146,Tennessee,Alaska,343.0,2010,Estimate
147,Texas,Alaska,11613.0,2010,Estimate
148,Utah,Alaska,1798.0,2010,Estimate
149,Vermont,Alaska,184.0,2010,Estimate
150,Virginia,Alaska,3296.0,2010,Estimate
151,Washington,Alaska,5644.0,2010,Estimate
152,West Virginia,Alaska,1326.0,2010,Estimate
153,Wisconsin,Alaska,798.0,2010,Estimate
154,Wyoming,Alaska,0.0,2010,Estimate
155,Puerto Rico,Alaska,156.0,2010,Estimate
156,Alabama,Alaska,1452.0,2010,MOE
157,Alaska,Alaska,,2010,MOE
158,Arizona,Alaska,1297.0,2010,MOE
159,Arkansas,Alaska,798.0,2010,MOE
160,California,Alaska,2911.0,2010,MOE
161,Colorado,Alaska,1220.0,2010,MOE
162,Connecticut,Alaska,281.0,2010,MOE
163,Delaware,Alaska,111.0,2010,MOE
164,District of Columbia ,Alaska,529.0,2010,MOE
165,Florida,Alaska,2502.0,2010,MOE
166,Georgia,Alaska,1932.0,2010,MOE
167,Hawaii,Alaska,609.0,2010,MOE
168,Idaho,Alaska,1813.0,2010,MOE
169,Illinois,Alaska,1078.0,2010,MOE
170,Indiana,Alaska,143.0,2010,MOE
171,Iowa,Alaska,407.0,2010,MOE
172,Kansas,Alaska,697.0,2010,MOE
173,Kentucky,Alaska,2024.0,2010,MOE
174,Louisiana,Alaska,922.0,2010,MOE
175,Maine,Alaska,439.0,2010,MOE
176,Maryland,Alaska,1268.0,2010,MOE
177,Massachusetts,Alaska,1205.0,2010,MOE
