,To,From,Value,Year,Type
15354,Indiana,Texas,1562.0,2012,MOE
15355,Iowa,Texas,1275.0,2012,MOE
15356,Kansas,Texas,2434.0,2012,MOE
15357,Kentucky,Texas,1420.0,2012,MOE
15358,Louisiana,Texas,4076.0,2012,MOE
15359,Maine,Texas,381.0,2012,MOE
15360,Maryland,Texas,1271.0,2012,MOE
15361,Massachusetts,Texas,1078.0,2012,MOE
15362,Michigan,Texas,2574.0,2012,MOE
15363,Minnesota,Texas,1244.0,2012,MOE
15364,Mississippi,Texas,2491.0,2012,MOE
15365,Missouri,Texas,2841.0,2012,MOE
15366,Montana,Texas,612.0,2012,MOE
15367,Nebraska,Texas,1218.0,2012,MOE
15368,Nevada,Texas,1772.0,2012,MOE
15369,New Hampshire,Texas,1715.0,2012,MOE
15370,New Jersey,Texas,1335.0,2012,MOE
15371,New Mexico,Texas,2917.0,2012,MOE
15372,New York,Texas,2384.0,2012,MOE
15373,North Carolina,Texas,2381.0,2012,MOE
15374,North Dakota,Texas,756.0,2012,MOE
15375,Ohio,Texas,2739.0,2012,MOE
15376,Oklahoma,Texas,2960.0,2012,MOE
15377,Oregon,Texas,1277.0,2012,MOE
15378,Pennsylvania,Texas,1688.0,2012,MOE
15379,Rhode Island,Texas,433.0,2012,MOE
15380,South Carolina,Texas,1482.0,2012,MOE
15381,South Dakota,Texas,1067.0,2012,MOE
15382,Tennessee,Texas,2938.0,2012,MOE
15383,Texas,Texas,,2012,MOE
15384,Utah,Texas,1278.0,2012,MOE
15385,Vermont,Texas,334.0,2012,MOE
15386,Virginia,Texas,2828.0,2012,MOE
15387,Washington,Texas,3417.0,2012,MOE
15388,West Virginia,Texas,415.0,2012,MOE
15389,Wisconsin,Texas,1112.0,2012,MOE
15390,Wyoming,Texas,920.0,2012,MOE
15391,Puerto Rico,Texas,291.0,2012,MOE
15392,Alabama,Utah,579.0,2012,Estimate
15393,Alaska,Utah,330.0,2012,Estimate
15394,Arizona,Utah,5916.0,2012,Estimate
15395,Arkansas,Utah,269.0,2012,Estimate
15396,California,Utah,12172.0,2012,Estimate
15397,Colorado,Utah,6398.0,2012,Estimate
15398,Connecticut,Utah,45.0,2012,Estimate
15399,Delaware,Utah,166.0,2012,Estimate
15400,District of Columbia ,Utah,116.0,2012,Estimate
15401,Florida,Utah,2499.0,2012,Estimate
15402,Georgia,Utah,20.0,2012,Estimate
15403,Hawaii,Utah,2183.0,2012,Estimate
15404,Idaho,Utah,6617.0,2012,Estimate
15405,Illinois,Utah,1154.0,2012,Estimate
15406,Indiana,Utah,105.0,2012,Estimate
15407,Iowa,Utah,886.0,2012,Estimate
15408,Kansas,Utah,97.0,2012,Estimate
15409,Kentucky,Utah,464.0,2012,Estimate
15410,Louisiana,Utah,277.0,2012,Estimate
15411,Maine,Utah,200.0,2012,Estimate
15412,Maryland,Utah,1061.0,2012,Estimate
15413,Massachusetts,Utah,1027.0,2012,Estimate
15414,Michigan,Utah,819.0,2012,Estimate
15415,Minnesota,Utah,429.0,2012,Estimate
15416,Mississippi,Utah,454.0,2012,Estimate
15417,Missouri,Utah,3287.0,2012,Estimate
15418,Montana,Utah,260.0,2012,Estimate
15419,Nebraska,Utah,229.0,2012,Estimate
15420,Nevada,Utah,4605.0,2012,Estimate
15421,New Hampshire,Utah,557.0,2012,Estimate
15422,New Jersey,Utah,425.0,2012,Estimate
15423,New Mexico,Utah,1382.0,2012,Estimate
15424,New York,Utah,622.0,2012,Estimate
15425,North Carolina,Utah,1189.0,2012,Estimate
15426,North Dakota,Utah,43.0,2012,Estimate
15427,Ohio,Utah,197.0,2012,Estimate
15428,Oklahoma,Utah,2588.0,2012,Estimate
15429,Oregon,Utah,4793.0,2012,Estimate
15430,Pennsylvania,Utah,1276.0,2012,Estimate
15431,Rhode Island,Utah,0.0,2012,Estimate
15432,South Carolina,Utah,566.0,2012,Estimate
15433,South Dakota,Utah,388.0,2012,Estimate
15434,Tennessee,Utah,784.0,2012,Estimate
15435,Texas,Utah,4610.0,2012,Estimate
15436,Utah,Utah,,2012,Estimate
15437,Vermont,Utah,81.0,2012,Estimate
15438,Virginia,Utah,2092.0,2012,Estimate
15439,Washington,Utah,5298.0,2012,Estimate
15440,West Virginia,Utah,0.0,2012,Estimate
15441,Wisconsin,Utah,900.0,2012,Estimate
15442,Wyoming,Utah,1710.0,2012,Estimate
15443,Puerto Rico,Utah,0.0,2012,Estimate
15444,Alabama,Utah,713.0,2012,MOE
15445,Alaska,Utah,347.0,2012,MOE
15446,Arizona,Utah,1789.0,2012,MOE
15447,Arkansas,Utah,216.0,2012,MOE
15448,California,Utah,2457.0,2012,MOE
15449,Colorado,Utah,2035.0,2012,MOE
15450,Connecticut,Utah,69.0,2012,MOE
15451,Delaware,Utah,279.0,2012,MOE
15452,District of Columbia ,Utah,145.0,2012,MOE
15453,Florida,Utah,1348.0,2012,MOE
15454,Georgia,Utah,35.0,2012,MOE
15455,Hawaii,Utah,1283.0,2012,MOE
15456,Idaho,Utah,3016.0,2012,MOE
15457,Illinois,Utah,495.0,2012,MOE
15458,Indiana,Utah,124.0,2012,MOE
15459,Iowa,Utah,880.0,2012,MOE
15460,Kansas,Utah,106.0,2012,MOE
15461,Kentucky,Utah,360.0,2012,MOE
15462,Louisiana,Utah,288.0,2012,MOE
15463,Maine,Utah,183.0,2012,MOE
15464,Maryland,Utah,831.0,2012,MOE
15465,Massachusetts,Utah,666.0,2012,MOE
15466,Michigan,Utah,534.0,2012,MOE
15467,Minnesota,Utah,312.0,2012,MOE
15468,Mississippi,Utah,724.0,2012,MOE
15469,Missouri,Utah,1733.0,2012,MOE
15470,Montana,Utah,261.0,2012,MOE
15471,Nebraska,Utah,230.0,2012,MOE
15472,Nevada,Utah,1899.0,2012,MOE
15473,New Hampshire,Utah,762.0,2012,MOE
15474,New Jersey,Utah,341.0,2012,MOE
15475,New Mexico,Utah,889.0,2012,MOE
15476,New York,Utah,489.0,2012,MOE
15477,North Carolina,Utah,1040.0,2012,MOE
15478,North Dakota,Utah,60.0,2012,MOE
15479,Ohio,Utah,211.0,2012,MOE
15480,Oklahoma,Utah,1465.0,2012,MOE
15481,Oregon,Utah,2328.0,2012,MOE
15482,Pennsylvania,Utah,804.0,2012,MOE
15483,Rhode Island,Utah,200.0,2012,MOE
15484,South Carolina,Utah,425.0,2012,MOE
15485,South Dakota,Utah,372.0,2012,MOE
15486,Tennessee,Utah,1131.0,2012,MOE
15487,Texas,Utah,2045.0,2012,MOE
15488,Utah,Utah,,2012,MOE
15489,Vermont,Utah,96.0,2012,MOE
15490,Virginia,Utah,994.0,2012,MOE
15491,Washington,Utah,1995.0,2012,MOE
15492,West Virginia,Utah,182.0,2012,MOE
15493,Wisconsin,Utah,1091.0,2012,MOE
15494,Wyoming,Utah,948.0,2012,MOE
15495,Puerto Rico,Utah,214.0,2012,MOE
15496,Alabama,Vermont,0.0,2012,Estimate
15497,Alaska,Vermont,79.0,2012,Estimate
15498,Arizona,Vermont,207.0,2012,Estimate
15499,Arkansas,Vermont,0.0,2012,Estimate
15500,California,Vermont,544.0,2012,Estimate
15501,Colorado,Vermont,503.0,2012,Estimate
15502,Connecticut,Vermont,709.0,2012,Estimate
15503,Delaware,Vermont,0.0,2012,Estimate
15504,District of Columbia ,Vermont,267.0,2012,Estimate
15505,Florida,Vermont,2747.0,2012,Estimate
15506,Georgia,Vermont,84.0,2012,Estimate
15507,Hawaii,Vermont,0.0,2012,Estimate
15508,Idaho,Vermont,0.0,2012,Estimate
15509,Illinois,Vermont,156.0,2012,Estimate
15510,Indiana,Vermont,0.0,2012,Estimate
15511,Iowa,Vermont,0.0,2012,Estimate
15512,Kansas,Vermont,70.0,2012,Estimate
15513,Kentucky,Vermont,45.0,2012,Estimate
15514,Louisiana,Vermont,45.0,2012,Estimate
15515,Maine,Vermont,349.0,2012,Estimate
15516,Maryland,Vermont,589.0,2012,Estimate
15517,Massachusetts,Vermont,2534.0,2012,Estimate
15518,Michigan,Vermont,60.0,2012,Estimate
15519,Minnesota,Vermont,77.0,2012,Estimate
15520,Mississippi,Vermont,0.0,2012,Estimate
15521,Missouri,Vermont,318.0,2012,Estimate
15522,Montana,Vermont,87.0,2012,Estimate
15523,Nebraska,Vermont,79.0,2012,Estimate
15524,Nevada,Vermont,121.0,2012,Estimate
15525,New Hampshire,Vermont,2960.0,2012,Estimate
15526,New Jersey,Vermont,35.0,2012,Estimate
15527,New Mexico,Vermont,81.0,2012,Estimate
15528,New York,Vermont,2764.0,2012,Estimate
15529,North Carolina,Vermont,445.0,2012,Estimate
15530,North Dakota,Vermont,758.0,2012,Estimate
15531,Ohio,Vermont,364.0,2012,Estimate
15532,Oklahoma,Vermont,197.0,2012,Estimate
15533,Oregon,Vermont,367.0,2012,Estimate
15534,Pennsylvania,Vermont,1012.0,2012,Estimate
15535,Rhode Island,Vermont,53.0,2012,Estimate
15536,South Carolina,Vermont,298.0,2012,Estimate
15537,South Dakota,Vermont,5.0,2012,Estimate
15538,Tennessee,Vermont,133.0,2012,Estimate
15539,Texas,Vermont,113.0,2012,Estimate
15540,Utah,Vermont,39.0,2012,Estimate
15541,Vermont,Vermont,,2012,Estimate
15542,Virginia,Vermont,423.0,2012,Estimate
15543,Washington,Vermont,223.0,2012,Estimate
15544,West Virginia,Vermont,54.0,2012,Estimate
15545,Wisconsin,Vermont,62.0,2012,Estimate
15546,Wyoming,Vermont,0.0,2012,Estimate
15547,Puerto Rico,Vermont,0.0,2012,Estimate
15548,Alabama,Vermont,184.0,2012,MOE
15549,Alaska,Vermont,108.0,2012,MOE
15550,Arizona,Vermont,291.0,2012,MOE
15551,Arkansas,Vermont,184.0,2012,MOE
15552,California,Vermont,345.0,2012,MOE
15553,Colorado,Vermont,371.0,2012,MOE
15554,Connecticut,Vermont,556.0,2012,MOE
15555,Delaware,Vermont,182.0,2012,MOE
15556,District of Columbia ,Vermont,250.0,2012,MOE
15557,Florida,Vermont,1190.0,2012,MOE
15558,Georgia,Vermont,142.0,2012,MOE
15559,Hawaii,Vermont,177.0,2012,MOE
15560,Idaho,Vermont,187.0,2012,MOE
15561,Illinois,Vermont,133.0,2012,MOE
15562,Indiana,Vermont,184.0,2012,MOE
15563,Iowa,Vermont,151.0,2012,MOE
15564,Kansas,Vermont,138.0,2012,MOE
15565,Kentucky,Vermont,81.0,2012,MOE
15566,Louisiana,Vermont,72.0,2012,MOE
15567,Maine,Vermont,340.0,2012,MOE
15568,Maryland,Vermont,598.0,2012,MOE
15569,Massachusetts,Vermont,913.0,2012,MOE
15570,Michigan,Vermont,120.0,2012,MOE
15571,Minnesota,Vermont,126.0,2012,MOE
15572,Mississippi,Vermont,198.0,2012,MOE
15573,Missouri,Vermont,413.0,2012,MOE
15574,Montana,Vermont,135.0,2012,MOE
15575,Nebraska,Vermont,131.0,2012,MOE
15576,Nevada,Vermont,222.0,2012,MOE
15577,New Hampshire,Vermont,1339.0,2012,MOE
15578,New Jersey,Vermont,57.0,2012,MOE
15579,New Mexico,Vermont,103.0,2012,MOE
15580,New York,Vermont,1025.0,2012,MOE
15581,North Carolina,Vermont,291.0,2012,MOE
15582,North Dakota,Vermont,1014.0,2012,MOE
15583,Ohio,Vermont,350.0,2012,MOE
15584,Oklahoma,Vermont,316.0,2012,MOE
15585,Oregon,Vermont,435.0,2012,MOE
15586,Pennsylvania,Vermont,873.0,2012,MOE
15587,Rhode Island,Vermont,76.0,2012,MOE
15588,South Carolina,Vermont,244.0,2012,MOE
15589,South Dakota,Vermont,9.0,2012,MOE
15590,Tennessee,Vermont,133.0,2012,MOE
15591,Texas,Vermont,135.0,2012,MOE
15592,Utah,Vermont,63.0,2012,MOE
15593,Vermont,Vermont,,2012,MOE
15594,Virginia,Vermont,437.0,2012,MOE
15595,Washington,Vermont,216.0,2012,MOE
15596,West Virginia,Vermont,89.0,2012,MOE
15597,Wisconsin,Vermont,88.0,2012,MOE
15598,Wyoming,Vermont,185.0,2012,MOE
15599,Puerto Rico,Vermont,214.0,2012,MOE
15600,Alabama,Virginia,3170.0,2012,Estimate
15601,Alaska,Virginia,1265.0,2012,Estimate
15602,Arizona,Virginia,2763.0,2012,Estimate
15603,Arkansas,Virginia,1159.0,2012,Estimate
15604,California,Virginia,15625.0,2012,Estimate
15605,Colorado,Virginia,3796.0,2012,Estimate
15606,Connecticut,Virginia,1729.0,2012,Estimate
15607,Delaware,Virginia,1746.0,2012,Estimate
15608,District of Columbia ,Virginia,9537.0,2012,Estimate
15609,Florida,Virginia,25697.0,2012,Estimate
15610,Georgia,Virginia,10702.0,2012,Estimate
15611,Hawaii,Virginia,1393.0,2012,Estimate
15612,Idaho,Virginia,269.0,2012,Estimate
15613,Illinois,Virginia,4311.0,2012,Estimate
15614,Indiana,Virginia,1932.0,2012,Estimate
15615,Iowa,Virginia,268.0,2012,Estimate
15616,Kansas,Virginia,1705.0,2012,Estimate
15617,Kentucky,Virginia,3319.0,2012,Estimate
15618,Louisiana,Virginia,1857.0,2012,Estimate
15619,Maine,Virginia,573.0,2012,Estimate
15620,Maryland,Virginia,20579.0,2012,Estimate
15621,Massachusetts,Virginia,4098.0,2012,Estimate
15622,Michigan,Virginia,3057.0,2012,Estimate
15623,Minnesota,Virginia,1037.0,2012,Estimate
15624,Mississippi,Virginia,1929.0,2012,Estimate
15625,Missouri,Virginia,2609.0,2012,Estimate
15626,Montana,Virginia,156.0,2012,Estimate
15627,Nebraska,Virginia,1076.0,2012,Estimate
15628,Nevada,Virginia,1135.0,2012,Estimate
15629,New Hampshire,Virginia,660.0,2012,Estimate
15630,New Jersey,Virginia,5024.0,2012,Estimate
15631,New Mexico,Virginia,1560.0,2012,Estimate
15632,New York,Virginia,7939.0,2012,Estimate
15633,North Carolina,Virginia,26759.0,2012,Estimate
15634,North Dakota,Virginia,403.0,2012,Estimate
15635,Ohio,Virginia,3193.0,2012,Estimate
15636,Oklahoma,Virginia,1749.0,2012,Estimate
15637,Oregon,Virginia,676.0,2012,Estimate
15638,Pennsylvania,Virginia,11960.0,2012,Estimate
15639,Rhode Island,Virginia,1008.0,2012,Estimate
15640,South Carolina,Virginia,9377.0,2012,Estimate
15641,South Dakota,Virginia,340.0,2012,Estimate
15642,Tennessee,Virginia,8008.0,2012,Estimate
15643,Texas,Virginia,17734.0,2012,Estimate
15644,Utah,Virginia,1369.0,2012,Estimate
15645,Vermont,Virginia,728.0,2012,Estimate
15646,Virginia,Virginia,,2012,Estimate
15647,Washington,Virginia,3839.0,2012,Estimate
15648,West Virginia,Virginia,6317.0,2012,Estimate
15649,Wisconsin,Virginia,1267.0,2012,Estimate
15650,Wyoming,Virginia,138.0,2012,Estimate
15651,Puerto Rico,Virginia,684.0,2012,Estimate
15652,Alabama,Virginia,1577.0,2012,MOE
15653,Alaska,Virginia,674.0,2012,MOE
15654,Arizona,Virginia,1031.0,2012,MOE
15655,Arkansas,Virginia,824.0,2012,MOE
15656,California,Virginia,3457.0,2012,MOE
15657,Colorado,Virginia,1568.0,2012,MOE
15658,Connecticut,Virginia,707.0,2012,MOE
15659,Delaware,Virginia,910.0,2012,MOE
15660,District of Columbia ,Virginia,1762.0,2012,MOE
15661,Florida,Virginia,3965.0,2012,MOE
15662,Georgia,Virginia,2094.0,2012,MOE
15663,Hawaii,Virginia,755.0,2012,MOE
15664,Idaho,Virginia,388.0,2012,MOE
15665,Illinois,Virginia,1212.0,2012,MOE
15666,Indiana,Virginia,1101.0,2012,MOE
15667,Iowa,Virginia,200.0,2012,MOE
15668,Kansas,Virginia,853.0,2012,MOE
15669,Kentucky,Virginia,1111.0,2012,MOE
15670,Louisiana,Virginia,1033.0,2012,MOE
15671,Maine,Virginia,408.0,2012,MOE
15672,Maryland,Virginia,2668.0,2012,MOE
15673,Massachusetts,Virginia,1470.0,2012,MOE
15674,Michigan,Virginia,855.0,2012,MOE
15675,Minnesota,Virginia,434.0,2012,MOE
15676,Mississippi,Virginia,1285.0,2012,MOE
15677,Missouri,Virginia,1081.0,2012,MOE
15678,Montana,Virginia,153.0,2012,MOE
15679,Nebraska,Virginia,758.0,2012,MOE
15680,Nevada,Virginia,832.0,2012,MOE
15681,New Hampshire,Virginia,433.0,2012,MOE
15682,New Jersey,Virginia,1899.0,2012,MOE
15683,New Mexico,Virginia,1330.0,2012,MOE
15684,New York,Virginia,2109.0,2012,MOE
15685,North Carolina,Virginia,4229.0,2012,MOE
15686,North Dakota,Virginia,309.0,2012,MOE
15687,Ohio,Virginia,1055.0,2012,MOE
15688,Oklahoma,Virginia,829.0,2012,MOE
15689,Oregon,Virginia,510.0,2012,MOE
15690,Pennsylvania,Virginia,2213.0,2012,MOE
15691,Rhode Island,Virginia,569.0,2012,MOE
15692,South Carolina,Virginia,3040.0,2012,MOE
15693,South Dakota,Virginia,300.0,2012,MOE
15694,Tennessee,Virginia,2159.0,2012,MOE
15695,Texas,Virginia,4904.0,2012,MOE
15696,Utah,Virginia,668.0,2012,MOE
15697,Vermont,Virginia,427.0,2012,MOE
15698,Virginia,Virginia,,2012,MOE
15699,Washington,Virginia,1320.0,2012,MOE
15700,West Virginia,Virginia,1774.0,2012,MOE
15701,Wisconsin,Virginia,916.0,2012,MOE
15702,Wyoming,Virginia,169.0,2012,MOE
15703,Puerto Rico,Virginia,777.0,2012,MOE
15704,Alabama,Washington,1034.0,2012,Estimate
15705,Alaska,Washington,3725.0,2012,Estimate
15706,Arizona,Washington,13247.0,2012,Estimate
15707,Arkansas,Washington,251.0,2012,Estimate
15708,California,Washington,34569.0,2012,Estimate
15709,Colorado,Washington,4853.0,2012,Estimate
15710,Connecticut,Washington,1593.0,2012,Estimate
15711,Delaware,Washington,29.0,2012,Estimate
15712,District of Columbia ,Washington,481.0,2012,Estimate
15713,Florida,Washington,4943.0,2012,Estimate
15714,Georgia,Washington,1965.0,2012,Estimate
15715,Hawaii,Washington,5920.0,2012,Estimate
15716,Idaho,Washington,10398.0,2012,Estimate
15717,Illinois,Washington,2704.0,2012,Estimate
15718,Indiana,Washington,258.0,2012,Estimate
15719,Iowa,Washington,919.0,2012,Estimate
15720,Kansas,Washington,3265.0,2012,Estimate
15721,Kentucky,Washington,1988.0,2012,Estimate
15722,Louisiana,Washington,1581.0,2012,Estimate
15723,Maine,Washington,118.0,2012,Estimate
15724,Maryland,Washington,1431.0,2012,Estimate
15725,Massachusetts,Washington,1653.0,2012,Estimate
15726,Michigan,Washington,2146.0,2012,Estimate
15727,Minnesota,Washington,1685.0,2012,Estimate
15728,Mississippi,Washington,433.0,2012,Estimate
15729,Missouri,Washington,2312.0,2012,Estimate
15730,Montana,Washington,4783.0,2012,Estimate
15731,Nebraska,Washington,1327.0,2012,Estimate
15732,Nevada,Washington,2997.0,2012,Estimate
15733,New Hampshire,Washington,113.0,2012,Estimate
15734,New Jersey,Washington,1847.0,2012,Estimate
15735,New Mexico,Washington,1251.0,2012,Estimate
15736,New York,Washington,2614.0,2012,Estimate
15737,North Carolina,Washington,5915.0,2012,Estimate
15738,North Dakota,Washington,1604.0,2012,Estimate
15739,Ohio,Washington,2862.0,2012,Estimate
15740,Oklahoma,Washington,1574.0,2012,Estimate
15741,Oregon,Washington,21224.0,2012,Estimate
15742,Pennsylvania,Washington,1787.0,2012,Estimate
15743,Rhode Island,Washington,287.0,2012,Estimate
15744,South Carolina,Washington,1629.0,2012,Estimate
15745,South Dakota,Washington,1026.0,2012,Estimate
15746,Tennessee,Washington,1876.0,2012,Estimate
15747,Texas,Washington,11630.0,2012,Estimate
15748,Utah,Washington,3529.0,2012,Estimate
15749,Vermont,Washington,98.0,2012,Estimate
15750,Virginia,Washington,4160.0,2012,Estimate
15751,Washington,Washington,,2012,Estimate
15752,West Virginia,Washington,297.0,2012,Estimate
15753,Wisconsin,Washington,1208.0,2012,Estimate
15754,Wyoming,Washington,1323.0,2012,Estimate
15755,Puerto Rico,Washington,0.0,2012,Estimate
15756,Alabama,Washington,684.0,2012,MOE
15757,Alaska,Washington,1488.0,2012,MOE
15758,Arizona,Washington,2448.0,2012,MOE
15759,Arkansas,Washington,226.0,2012,MOE
15760,California,Washington,4540.0,2012,MOE
15761,Colorado,Washington,1401.0,2012,MOE
15762,Connecticut,Washington,1274.0,2012,MOE
15763,Delaware,Washington,49.0,2012,MOE
15764,District of Columbia ,Washington,358.0,2012,MOE
15765,Florida,Washington,1710.0,2012,MOE
15766,Georgia,Washington,826.0,2012,MOE
15767,Hawaii,Washington,1901.0,2012,MOE
15768,Idaho,Washington,1919.0,2012,MOE
15769,Illinois,Washington,971.0,2012,MOE
15770,Indiana,Washington,221.0,2012,MOE
15771,Iowa,Washington,485.0,2012,MOE
15772,Kansas,Washington,1675.0,2012,MOE
15773,Kentucky,Washington,998.0,2012,MOE
15774,Louisiana,Washington,631.0,2012,MOE
15775,Maine,Washington,137.0,2012,MOE
15776,Maryland,Washington,884.0,2012,MOE
15777,Massachusetts,Washington,696.0,2012,MOE
15778,Michigan,Washington,839.0,2012,MOE
15779,Minnesota,Washington,678.0,2012,MOE
15780,Mississippi,Washington,309.0,2012,MOE
15781,Missouri,Washington,1093.0,2012,MOE
15782,Montana,Washington,1555.0,2012,MOE
15783,Nebraska,Washington,673.0,2012,MOE
15784,Nevada,Washington,1103.0,2012,MOE
15785,New Hampshire,Washington,119.0,2012,MOE
15786,New Jersey,Washington,1244.0,2012,MOE
15787,New Mexico,Washington,575.0,2012,MOE
15788,New York,Washington,840.0,2012,MOE
15789,North Carolina,Washington,2630.0,2012,MOE
15790,North Dakota,Washington,796.0,2012,MOE
15791,Ohio,Washington,2150.0,2012,MOE
15792,Oklahoma,Washington,575.0,2012,MOE
15793,Oregon,Washington,3153.0,2012,MOE
15794,Pennsylvania,Washington,1202.0,2012,MOE
15795,Rhode Island,Washington,320.0,2012,MOE
15796,South Carolina,Washington,1165.0,2012,MOE
15797,South Dakota,Washington,681.0,2012,MOE
15798,Tennessee,Washington,852.0,2012,MOE
15799,Texas,Washington,2741.0,2012,MOE
15800,Utah,Washington,1319.0,2012,MOE
15801,Vermont,Washington,109.0,2012,MOE
15802,Virginia,Washington,1420.0,2012,MOE
15803,Washington,Washington,,2012,MOE
15804,West Virginia,Washington,285.0,2012,MOE
15805,Wisconsin,Washington,416.0,2012,MOE
15806,Wyoming,Washington,785.0,2012,MOE
15807,Puerto Rico,Washington,214.0,2012,MOE
15808,Alabama,West Virginia,128.0,2012,Estimate
15809,Alaska,West Virginia,0.0,2012,Estimate
15810,Arizona,West Virginia,765.0,2012,Estimate
15811,Arkansas,West Virginia,84.0,2012,Estimate
15812,California,West Virginia,1413.0,2012,Estimate
15813,Colorado,West Virginia,837.0,2012,Estimate
15814,Connecticut,West Virginia,174.0,2012,Estimate
15815,Delaware,West Virginia,161.0,2012,Estimate
15816,District of Columbia ,West Virginia,293.0,2012,Estimate
15817,Florida,West Virginia,3533.0,2012,Estimate
15818,Georgia,West Virginia,1237.0,2012,Estimate
15819,Hawaii,West Virginia,197.0,2012,Estimate
15820,Idaho,West Virginia,0.0,2012,Estimate
15821,Illinois,West Virginia,1221.0,2012,Estimate
15822,Indiana,West Virginia,507.0,2012,Estimate
15823,Iowa,West Virginia,22.0,2012,Estimate
15824,Kansas,West Virginia,139.0,2012,Estimate
15825,Kentucky,West Virginia,3346.0,2012,Estimate
15826,Louisiana,West Virginia,238.0,2012,Estimate
15827,Maine,West Virginia,51.0,2012,Estimate
15828,Maryland,West Virginia,1957.0,2012,Estimate
15829,Massachusetts,West Virginia,385.0,2012,Estimate
15830,Michigan,West Virginia,353.0,2012,Estimate
15831,Minnesota,West Virginia,0.0,2012,Estimate
15832,Mississippi,West Virginia,0.0,2012,Estimate
15833,Missouri,West Virginia,148.0,2012,Estimate
15834,Montana,West Virginia,0.0,2012,Estimate
15835,Nebraska,West Virginia,111.0,2012,Estimate
15836,Nevada,West Virginia,100.0,2012,Estimate
15837,New Hampshire,West Virginia,80.0,2012,Estimate
15838,New Jersey,West Virginia,297.0,2012,Estimate
15839,New Mexico,West Virginia,0.0,2012,Estimate
15840,New York,West Virginia,921.0,2012,Estimate
15841,North Carolina,West Virginia,2677.0,2012,Estimate
15842,North Dakota,West Virginia,0.0,2012,Estimate
15843,Ohio,West Virginia,7820.0,2012,Estimate
15844,Oklahoma,West Virginia,368.0,2012,Estimate
15845,Oregon,West Virginia,593.0,2012,Estimate
15846,Pennsylvania,West Virginia,6762.0,2012,Estimate
15847,Rhode Island,West Virginia,0.0,2012,Estimate
15848,South Carolina,West Virginia,1345.0,2012,Estimate
15849,South Dakota,West Virginia,131.0,2012,Estimate
15850,Tennessee,West Virginia,3248.0,2012,Estimate
15851,Texas,West Virginia,1729.0,2012,Estimate
15852,Utah,West Virginia,0.0,2012,Estimate
15853,Vermont,West Virginia,0.0,2012,Estimate
15854,Virginia,West Virginia,3839.0,2012,Estimate
15855,Washington,West Virginia,215.0,2012,Estimate
15856,West Virginia,West Virginia,,2012,Estimate
15857,Wisconsin,West Virginia,0.0,2012,Estimate
15858,Wyoming,West Virginia,0.0,2012,Estimate
15859,Puerto Rico,West Virginia,8.0,2012,Estimate
15860,Alabama,West Virginia,156.0,2012,MOE
15861,Alaska,West Virginia,143.0,2012,MOE
15862,Arizona,West Virginia,734.0,2012,MOE
15863,Arkansas,West Virginia,148.0,2012,MOE
15864,California,West Virginia,1135.0,2012,MOE
15865,Colorado,West Virginia,429.0,2012,MOE
15866,Connecticut,West Virginia,293.0,2012,MOE
15867,Delaware,West Virginia,205.0,2012,MOE
15868,District of Columbia ,West Virginia,219.0,2012,MOE
15869,Florida,West Virginia,1587.0,2012,MOE
15870,Georgia,West Virginia,625.0,2012,MOE
15871,Hawaii,West Virginia,330.0,2012,MOE
15872,Idaho,West Virginia,187.0,2012,MOE
15873,Illinois,West Virginia,1224.0,2012,MOE
15874,Indiana,West Virginia,345.0,2012,MOE
15875,Iowa,West Virginia,41.0,2012,MOE
15876,Kansas,West Virginia,132.0,2012,MOE
15877,Kentucky,West Virginia,1472.0,2012,MOE
15878,Louisiana,West Virginia,271.0,2012,MOE
15879,Maine,West Virginia,85.0,2012,MOE
15880,Maryland,West Virginia,799.0,2012,MOE
15881,Massachusetts,West Virginia,569.0,2012,MOE
15882,Michigan,West Virginia,279.0,2012,MOE
15883,Minnesota,West Virginia,139.0,2012,MOE
15884,Mississippi,West Virginia,198.0,2012,MOE
15885,Missouri,West Virginia,181.0,2012,MOE
15886,Montana,West Virginia,157.0,2012,MOE
15887,Nebraska,West Virginia,152.0,2012,MOE
15888,Nevada,West Virginia,161.0,2012,MOE
15889,New Hampshire,West Virginia,131.0,2012,MOE
15890,New Jersey,West Virginia,201.0,2012,MOE
15891,New Mexico,West Virginia,185.0,2012,MOE
15892,New York,West Virginia,689.0,2012,MOE
15893,North Carolina,West Virginia,985.0,2012,MOE
15894,North Dakota,West Virginia,141.0,2012,MOE
15895,Ohio,West Virginia,2219.0,2012,MOE
15896,Oklahoma,West Virginia,298.0,2012,MOE
15897,Oregon,West Virginia,502.0,2012,MOE
15898,Pennsylvania,West Virginia,2075.0,2012,MOE
15899,Rhode Island,West Virginia,200.0,2012,MOE
15900,South Carolina,West Virginia,720.0,2012,MOE
15901,South Dakota,West Virginia,216.0,2012,MOE
15902,Tennessee,West Virginia,1760.0,2012,MOE
15903,Texas,West Virginia,938.0,2012,MOE
15904,Utah,West Virginia,181.0,2012,MOE
15905,Vermont,West Virginia,143.0,2012,MOE
15906,Virginia,West Virginia,1234.0,2012,MOE
15907,Washington,West Virginia,271.0,2012,MOE
15908,West Virginia,West Virginia,,2012,MOE
15909,Wisconsin,West Virginia,145.0,2012,MOE
15910,Wyoming,West Virginia,185.0,2012,MOE
15911,Puerto Rico,West Virginia,15.0,2012,MOE
